Headline,Body ID,Stance,Agree,Disagree,Discuss,Unrelated
canadian prime minister justin trudeau is fidel castro’s son.,6039,agree,0.31960319000000004,0.1939345515,0.31652079250000004,0.16994146999999998
canadian prime minister justin trudeau is fidel castro’s son.,6040,unrelated,0.0270209670755,0.0228802300752,4.2875783e-05,0.95005595
canadian prime minister justin trudeau is fidel castro’s son.,6041,unrelated,0.20541874699999998,0.059263312549999995,0.3164462,0.418871745
wells fargo and chase are invested in the dakota access pipeline. see example( s ),6042,discuss,0.292266815,0.29580581202,0.373210055,0.038717317705
wells fargo and chase are invested in the dakota access pipeline. see example( s ),6043,unrelated,0.0765197775,0.357937094,0.052276735,0.5132664
"sen. tim kaine responded to news of a machete attack at ohio state university by tweeting that he was deeply saddened by the senseless act of ""gun violence."" see example( s )",6044,unrelated,0.2359608259015,0.00351163765,0.260927255823,0.499600281
"sen. tim kaine responded to news of a machete attack at ohio state university by tweeting that he was deeply saddened by the senseless act of ""gun violence."" see example( s )",6045,discuss,0.0460998845,0.02279983265,0.48720499825,0.44389530856000003
"congress could declare donald trump unfit to govern, thereby preventing him from becoming president. see example( s )",6046,discuss,0.172622257,0.08354031399999999,0.4631678465,0.280669612
"congress could declare donald trump unfit to govern, thereby preventing him from becoming president. see example( s )",6047,agree,0.551344125,0.090704425,0.08361466699999999,0.2743367938
"congress could declare donald trump unfit to govern, thereby preventing him from becoming president. see example( s )",6048,agree,0.45806098,0.108434193,0.2777452325,0.15575963313
"congress could declare donald trump unfit to govern, thereby preventing him from becoming president. see example( s )",6049,agree,0.6714031500000001,0.17312736305,0.0502456435,0.105223855345
"president obama planned to attend fidel castro's funeral, but was forced to ""stand down"" by president-elect donald trump. see example( s )",6050,unrelated,0.125084545007,0.0377226068797,0.009333695525,0.82785915
"in 2005, senator hillary clinton co-sponsored a bill to make flag burning a punishable offense. see example( s )",6051,agree,0.42930963,0.047947072,0.130106033,0.39263728834
"in 2005, senator hillary clinton co-sponsored a bill to make flag burning a punishable offense. see example( s )",6052,agree,0.3597317,0.045163980500000006,0.2490483015,0.3460560376
the final episode of tom and jerry ended with both characters committing suicide.,6053,agree,0.49677129,0.1261239955,0.114557834,0.26254690139000003
a photograph shows a young blue-eyed boy who was beaten up by a muslim because of his eye color.,6054,unrelated,0.142012044387,0.016677985629,0.004601264551999999,0.8367086800000001
"donald trump won 3,084 of america's 3,141 counties in the 2016 presidential election; hillary clinton won just 57.",6055,unrelated,0.3885890025,0.06125013650000001,0.070982585,0.479178285
"donald trump won 3,084 of america's 3,141 counties in the 2016 presidential election; hillary clinton won just 57.",6056,agree,0.463442225,0.08837915615,0.3730705265,0.07510814155500001
"donald trump won 3,084 of america's 3,141 counties in the 2016 presidential election; hillary clinton won just 57.",6057,agree,0.475733165,0.0744218225,0.28411014,0.16573487046
"donald trump won 3,084 of america's 3,141 counties in the 2016 presidential election; hillary clinton won just 57.",6058,unrelated,0.10580099882999999,0.1032317953265,0.0152830243,0.775684175
"donald trump won 3,084 of america's 3,141 counties in the 2016 presidential election; hillary clinton won just 57.",6059,agree,0.37467303,0.05252254285,0.200500185,0.372304236655
"donald trump won 3,084 of america's 3,141 counties in the 2016 presidential election; hillary clinton won just 57.",6060,discuss,0.283363435,0.07463660275,0.32505124,0.31694872609999997
"donald trump won 3,084 of america's 3,141 counties in the 2016 presidential election; hillary clinton won just 57.",6061,agree,0.47657135,0.05341932575,0.16654339699999998,0.303465926465
"donald trump won 3,084 of america's 3,141 counties in the 2016 presidential election; hillary clinton won just 57.",6062,agree,0.42897363,0.0816780953,0.343887875,0.145460458595
"donald trump won 3,084 of america's 3,141 counties in the 2016 presidential election; hillary clinton won just 57.",6063,agree,0.58711967,0.07791620190000001,0.19152283850000001,0.14344129863
"donald trump won 3,084 of america's 3,141 counties in the 2016 presidential election; hillary clinton won just 57.",6064,agree,0.43956375,0.07331213974999999,0.346001961,0.141122162635
an image shows melania trump and ivanka trump wearing see-through shirts.,6065,discuss,0.353583115,0.10596491960000001,0.3545045,0.185947475
an image shows melania trump and ivanka trump wearing see-through shirts.,6066,unrelated,0.38973086799999995,0.0187210993,0.15472786375,0.4368201798
senate democrats unanimously voted for a bill cutting veterans' pensions. see example( s ),6067,agree,0.6716218,0.089688589015,0.132293845,0.10639574160850003
senate democrats unanimously voted for a bill cutting veterans' pensions. see example( s ),6068,agree,0.43393729,0.03869116105,0.42084242,0.1065291075
senate democrats unanimously voted for a bill cutting veterans' pensions. see example( s ),6069,agree,0.51690855,0.04363202675,0.3766062575,0.06285318924000001
senate democrats unanimously voted for a bill cutting veterans' pensions. see example( s ),6070,discuss,0.130787805,0.35580997711999995,0.4818231685000001,0.03157907285
senate democrats unanimously voted for a bill cutting veterans' pensions. see example( s ),6071,unrelated,0.04537804761415,0.05806366090669701,0.01730469353715,0.879253615
"christian-owned airlines change the lights on the wings of airliners to ""celebrate christmas"" (and passengers can request other colors). see example( s )",6072,unrelated,0.307070135,0.0288283856,0.331125784,0.33297574717499995
a video shows a 50-foot-long giant squid that washed up on a beach in new zealand in 2015.,6073,agree,0.63321315,0.0133549815,0.08374846849999999,0.2696834
a video shows a 50-foot-long giant squid that washed up on a beach in new zealand in 2015.,6074,unrelated,0.330700115,0.00859950265,0.168650255,0.49205011
levi strauss clothing stores have banned all guns.,6075,agree,0.61224455,0.045150101500000005,0.282711285,0.059894052176
"a photograph shows a donut with ""muslim writing"" on it.",6076,unrelated,0.08350391516450001,0.0374559087235,0.003522870285,0.8755173
"a photograph shows a donut with ""muslim writing"" on it.",6077,unrelated,0.217302228575,0.24769054285,0.02840809162,0.506599129
the white house decided not to display a christmas nativity scene in 2016.,6078,unrelated,0.295524445,0.0210428955,0.29440678435,0.38902587145000006
a somber image shows a man whose wife and two children were killed in a car accident. see example( s ),6079,unrelated,0.259356868831,0.022685673005685,0.03757568613,0.6803818
"republicans in texas made significant cuts to medicaid after they were ""emboldened"" by the results of the 2016 general election. see example( s )",6080,discuss,0.1762980435,0.04482732885,0.5214216150000001,0.25745299635
"republicans in texas made significant cuts to medicaid after they were ""emboldened"" by the results of the 2016 general election. see example( s )",6081,discuss,0.367707535,0.12718237,0.37692316,0.12818695019999998
top-secret footage shows a giant walking in japan.,6082,agree,0.35737808000000004,0.0295880755,0.2882054125,0.32482843799999994
top-secret footage shows a giant walking in japan.,6083,unrelated,0.224106274803,0.16551949743400002,0.03430263917,0.576071535
sarah palin called for a mall of america boycott over its hiring a black man to play santa claus. see example( s ),6084,unrelated,0.00337073416,0.011582761254,0.00024955041500000004,0.98479695
chris christie was arrested for keying donald trump's limousine.,6085,unrelated,0.28876814035000004,0.0128984605,0.204828470735,0.493504945105
chris christie was arrested for keying donald trump's limousine.,6086,discuss,0.19067601,0.1017119385,0.3676176665,0.33999438297499995
chris christie was arrested for keying donald trump's limousine.,6087,unrelated,0.058004249583,0.09621033901699999,0.028978241160000005,0.8168071
chris christie was arrested for keying donald trump's limousine.,6088,unrelated,0.17444999094500002,0.0022884953000000003,0.32029510214350004,0.502966415
chris christie was arrested for keying donald trump's limousine.,6089,unrelated,0.000279268296,0.0080254500265,0.00019019721999999998,0.9915051
recount observers in wisconsin discovered voting machines seals had been compromised after the 2016 general election. see example( s ),6090,discuss,0.342441605,0.040946327000000005,0.56282588,0.0537861839
recount observers in wisconsin discovered voting machines seals had been compromised after the 2016 general election. see example( s ),6091,unrelated,0.32984486,0.013944920715000001,0.28602498,0.3701852732800001
recount observers in wisconsin discovered voting machines seals had been compromised after the 2016 general election. see example( s ),6092,discuss,0.1055972925,0.02213027815,0.63887109,0.23340135775
the government accountability office is tracking emails sent supporting an audit of donald trump requested by sen. elizabeth warren. see example( s ),6093,discuss,0.204580585,0.11232472915,0.6795735999999999,0.003521090315
"trump's chosen secretary of defense, james mattis, called anti-war protesters ""pussies."" see example( s )",6094,agree,0.382256535,0.06419820150000001,0.247570182,0.30597507
"trump's chosen secretary of defense, james mattis, called anti-war protesters ""pussies."" see example( s )",6095,agree,0.456303675,0.037627295750000005,0.180908003,0.325161057015
"trump's chosen secretary of defense, james mattis, called anti-war protesters ""pussies."" see example( s )",6096,agree,0.58583125,0.042701456500000005,0.247125435,0.12434188435
inspirational internet postings recount the high and low points in the life of kfc founder colonel harland sanders. see example( s ),6097,unrelated,0.45757751406,0.021125135184999998,0.02069038825485,0.5006069953
inspirational internet postings recount the high and low points in the life of kfc founder colonel harland sanders. see example( s ),6098,unrelated,0.0023675430747536,0.000458859180435,0.0011431960009683053,0.99603039
"white house press secretary josh earnest said world war ii veterans who felt ""embittered"" by diplomatic relations with japan on the anniversary of pearl harbor in 2016 should ""get over it."" see example( s )",6099,agree,0.7192668000000001,0.0222524735,0.168335116,0.0901456209975
"white house press secretary josh earnest said world war ii veterans who felt ""embittered"" by diplomatic relations with japan on the anniversary of pearl harbor in 2016 should ""get over it."" see example( s )",6100,agree,0.5064209399999999,0.028011086415,0.20051454300000002,0.265053473075
president obama hung a portrait of hillary clinton at the white house as part of his 2016 christmas decorations.,6101,agree,0.3417255650000001,0.23250512885000002,0.292278775,0.13349053137
united airlines will begin charging for overhead bin space. see example( s ),6102,unrelated,0.3247398420000001,0.03231274844,0.033513933350000004,0.60943351
united airlines will begin charging for overhead bin space. see example( s ),6103,discuss,0.26662605,0.252207801,0.3960737775,0.0850923619617
the united states military recruited native americans as scouts in the vietnam war and — in the course of their training — the military discovered that long hair actually helps give people ‘almost supernatural’ tracking abilities.,6104,unrelated,0.127627392555,0.0246535616415,0.00380876295,0.84391028
the united states military recruited native americans as scouts in the vietnam war and — in the course of their training — the military discovered that long hair actually helps give people ‘almost supernatural’ tracking abilities.,6105,unrelated,0.0138088017875,0.0058220452935,8.1723902e-05,0.9802874
the united states military recruited native americans as scouts in the vietnam war and — in the course of their training — the military discovered that long hair actually helps give people ‘almost supernatural’ tracking abilities.,6106,unrelated,0.21731277699999998,0.08366941950000001,0.240667615,0.458350175
the united states military recruited native americans as scouts in the vietnam war and — in the course of their training — the military discovered that long hair actually helps give people ‘almost supernatural’ tracking abilities.,6107,discuss,0.176952775,0.0137014938,0.4071777395,0.402168005
the united states military recruited native americans as scouts in the vietnam war and — in the course of their training — the military discovered that long hair actually helps give people ‘almost supernatural’ tracking abilities.,6108,unrelated,0.05181384179,0.02101963583,0.0019776031500000004,0.92518892
the united states military recruited native americans as scouts in the vietnam war and — in the course of their training — the military discovered that long hair actually helps give people ‘almost supernatural’ tracking abilities.,6109,discuss,0.17416474,0.25209001649999996,0.412936468,0.16080878192499998
the united states military recruited native americans as scouts in the vietnam war and — in the course of their training — the military discovered that long hair actually helps give people ‘almost supernatural’ tracking abilities.,6110,agree,0.383331415,0.310749125,0.255483785,0.050435659655000006
the united states military recruited native americans as scouts in the vietnam war and — in the course of their training — the military discovered that long hair actually helps give people ‘almost supernatural’ tracking abilities.,6111,unrelated,0.000665497225,0.0005726775900000001,0.02387600852935,0.97488585
the united states military recruited native americans as scouts in the vietnam war and — in the course of their training — the military discovered that long hair actually helps give people ‘almost supernatural’ tracking abilities.,6112,discuss,0.31175156550000005,0.07706317389999999,0.507444954,0.103740296
the united states military recruited native americans as scouts in the vietnam war and — in the course of their training — the military discovered that long hair actually helps give people ‘almost supernatural’ tracking abilities.,6113,discuss,0.21579436600000002,0.09253861977,0.440580745,0.25108622
the united states military recruited native americans as scouts in the vietnam war and — in the course of their training — the military discovered that long hair actually helps give people ‘almost supernatural’ tracking abilities.,6114,discuss,0.210590655,0.24625767985,0.48493263,0.05821904763000001
a viral video shows a man punching a kangaroo in the face to save his dog.,6115,unrelated,0.316739194853,0.0422396226843,0.021447046839999998,0.619574105
a viral video shows a man punching a kangaroo in the face to save his dog.,6116,agree,0.561740755,0.01213187647,0.3764667625,0.049660628459500006
a viral video shows a man punching a kangaroo in the face to save his dog.,6117,discuss,0.45036155,0.023735932060000003,0.503274085,0.022628379624799997
a viral video shows a man punching a kangaroo in the face to save his dog.,6118,agree,0.47997291,0.013051265149999998,0.4522076865,0.05476812347
a viral video shows a man punching a kangaroo in the face to save his dog.,6119,unrelated,0.32607971199999997,0.057179991379999996,0.0295045935,0.58723565
iconic legacy fragrance chanel no. 5 will be discontinued because the construction of a train track in france threatens its flower supply chain. see example( s ),6120,agree,0.536412875,0.3459667865,0.07887541299999999,0.03874495827
iconic legacy fragrance chanel no. 5 will be discontinued because the construction of a train track in france threatens its flower supply chain. see example( s ),6121,unrelated,0.13316578437499998,0.10090526091499999,0.01751734185,0.748411625
a gruesome image depicts children kidnapped and killed by organ traffickers in thailand. see example( s ),6122,unrelated,0.05864302342,0.029648762922999998,0.00890837725,0.902799845
a gruesome image depicts children kidnapped and killed by organ traffickers in thailand. see example( s ),6123,unrelated,0.1072043695885,0.02478378088976,0.032782401499999995,0.8352294499999999
a gruesome image depicts children kidnapped and killed by organ traffickers in thailand. see example( s ),6124,unrelated,0.16181925955,0.02467113536297,0.0341409535,0.77936867
"despite a decision that halted construction of the dakota access pipeline (dapl), energy transfer partners continued to build it and accept a $50,000 daily fine. see example( s )",6125,discuss,0.25146190535,0.10654374063699999,0.556004505,0.08598986977999999
"despite an agreement with president-elect donald trump to keep 1,000 manufacturing jobs in the u.s., carrier corporation says it will still relocate hundreds of jobs to mexico. see example( s )",6126,discuss,0.217642105,0.14451106476550002,0.49371604,0.1441307865
"despite an agreement with president-elect donald trump to keep 1,000 manufacturing jobs in the u.s., carrier corporation says it will still relocate hundreds of jobs to mexico. see example( s )",6127,unrelated,0.17302108857499998,0.1651708048912,0.02876083,0.6330472850000001
"donald trump canceled various white house measures accommodating islamic prayers in the building, upsetting president obama. see example( s )",6128,discuss,0.1058441942,0.231139425558,0.4996579835,0.1633583675
"donald trump canceled various white house measures accommodating islamic prayers in the building, upsetting president obama. see example( s )",6129,discuss,0.1392104525,0.090078071,0.505723382,0.264988091025
"if you use a real christmas tree, you run the risk of bringing lyme disease-transmitting ticks into your home. see example( s )",6130,discuss,0.177430695,0.18985513399999998,0.50700795,0.12570623205
"if you use a real christmas tree, you run the risk of bringing lyme disease-transmitting ticks into your home. see example( s )",6131,discuss,0.3580731675,0.035463015635000004,0.520745655,0.0857181585
"if you use a real christmas tree, you run the risk of bringing lyme disease-transmitting ticks into your home. see example( s )",6132,discuss,0.211829075,0.0841064527,0.53777499,0.16628943599999998
"if you use a real christmas tree, you run the risk of bringing lyme disease-transmitting ticks into your home. see example( s )",6133,discuss,0.290994375,0.12434568785,0.4143248125,0.17033508649999998
"if you use a real christmas tree, you run the risk of bringing lyme disease-transmitting ticks into your home. see example( s )",6134,agree,0.7337105150000001,0.044470336,0.07143495999999999,0.1503841872705
"if you use a real christmas tree, you run the risk of bringing lyme disease-transmitting ticks into your home. see example( s )",6135,agree,0.66267808,0.059917735,0.21462849999999997,0.0627756519
"if you use a real christmas tree, you run the risk of bringing lyme disease-transmitting ticks into your home. see example( s )",6136,agree,0.60128669,0.052220320499999986,0.1101314625,0.23636153699999998
"if you use a real christmas tree, you run the risk of bringing lyme disease-transmitting ticks into your home. see example( s )",6137,agree,0.6474444750000001,0.0806555185,0.18804497,0.0838550155
"if you use a real christmas tree, you run the risk of bringing lyme disease-transmitting ticks into your home. see example( s )",6138,agree,0.557744825,0.091241175,0.08883594800000001,0.26217805616
"if you use a real christmas tree, you run the risk of bringing lyme disease-transmitting ticks into your home. see example( s )",6139,discuss,0.1411809685,0.048681041800000005,0.525262415,0.28487554256700004
target.com or target blocked israel from accessing and shopping their web site. see example( s ),6140,discuss,0.121827985,0.13185484549999998,0.48971195100000003,0.256605215565
"donald trump's iq, at 156, is comparable to that of the smartest u.s. presidents.",6141,unrelated,0.05728193025,0.049215460543,0.010481156,0.88302138
"donald trump's iq, at 156, is comparable to that of the smartest u.s. presidents.",6142,agree,0.3741611600000001,0.34965125150000004,0.161568581,0.11461903997
"donald trump's iq, at 156, is comparable to that of the smartest u.s. presidents.",6143,unrelated,0.001754318095,0.013842181282500001,0.000693693915,0.9837098
"donald trump's iq, at 156, is comparable to that of the smartest u.s. presidents.",6144,unrelated,0.04500175625,0.12504750349500002,0.004496998571,0.8254537000000001
"donald trump's iq, at 156, is comparable to that of the smartest u.s. presidents.",6145,unrelated,0.2878106715,0.03390003085,0.048765739725,0.6295235499999999
"donald trump's iq, at 156, is comparable to that of the smartest u.s. presidents.",6146,unrelated,0.00473661776,0.00580621382,0.0001318397885,0.989325375
"the company harry & david had no concerns about advertising with breitbart, saying they were ""neutral"" on issues of racism and anti-semitism. see example( s )",6147,agree,0.4773636250000001,0.089652342,0.11029781,0.32268624
scientists have discovered a berry — found in only one region of australia — that can cure cancer in 48 hours.,6148,disagree,0.34158935049999994,0.46797650735,0.0088537215,0.181580468
scientists have discovered a berry — found in only one region of australia — that can cure cancer in 48 hours.,6149,unrelated,0.00328619495,0.174047956065,0.008208544315,0.8144573499999999
scientists have discovered a berry — found in only one region of australia — that can cure cancer in 48 hours.,6150,unrelated,0.1816473695,0.02621783195,0.0609319875,0.7312027999999999
scientists have discovered a berry — found in only one region of australia — that can cure cancer in 48 hours.,6151,disagree,0.26057051435,0.4948352795,0.111781491,0.1328127455
scientists have discovered a berry — found in only one region of australia — that can cure cancer in 48 hours.,6152,agree,0.29658696500000004,0.2544406335,0.255732057,0.19324032
scientists have discovered a berry — found in only one region of australia — that can cure cancer in 48 hours.,6153,agree,0.5372647,0.05808773,0.10271035,0.30193720004
scientists have discovered a berry — found in only one region of australia — that can cure cancer in 48 hours.,6154,discuss,0.011392080215,0.195966989155,0.4456759265,0.34696503
scientists have discovered a berry — found in only one region of australia — that can cure cancer in 48 hours.,6155,disagree,0.10076509800000001,0.4924598379,0.27509145780000005,0.1316835755
scientists have discovered a berry — found in only one region of australia — that can cure cancer in 48 hours.,6156,unrelated,0.024655550499999998,0.0455974738,0.36957314630000004,0.56017384
scientists have discovered a berry — found in only one region of australia — that can cure cancer in 48 hours.,6157,discuss,0.223348364,0.18637299585,0.511270765,0.0790078675
"ben carson said abortions led to baby ghosts haunting hospitals, stealing medical supplies, and increasing healthcare costs. see example( s )",6158,discuss,0.15374999,0.143580211,0.4710923525,0.2315774201
morton county sheriff kyle kirchmeier published pro-dakota access pipeline and anti-native american content via twitter. see example( s ),6159,unrelated,0.26404375979999994,0.11491375425999999,0.024015896499999998,0.597026625
"the nationality of kato, the green hornet's valet, was abruptly changed after the beginning of world war ii.",6160,unrelated,0.2199151375,0.0463984465,0.050436182,0.683250245
administrators at the university of wisconsin forced students to wear hijabs during islam appreciation week. see example( s ),6161,discuss,0.2538055825,0.1565466071,0.52645645,0.06319137667500001
administrators at the university of wisconsin forced students to wear hijabs during islam appreciation week. see example( s ),6162,agree,0.535894535,0.03224643105,0.33965972,0.0921993232065
administrators at the university of wisconsin forced students to wear hijabs during islam appreciation week. see example( s ),6163,discuss,0.24172751,0.173380521,0.441850475,0.1430415305
administrators at the university of wisconsin forced students to wear hijabs during islam appreciation week. see example( s ),6164,agree,0.48975737,0.0767683525,0.22741648,0.2060578004
the southern baptist convention purchased fast food chain chick fil-a. see example( s ),6165,disagree,0.209952131,0.4871461543,0.29248956485,0.010412142239999998
liberals were offended by a world war i memorial and demanded it be torn down. see example( s ),6166,discuss,0.248022333,0.16361401550000002,0.3842466785,0.204116925
liberals were offended by a world war i memorial and demanded it be torn down. see example( s ),6167,discuss,0.276313174,0.07263278599999999,0.44546678,0.20558725
liberals were offended by a world war i memorial and demanded it be torn down. see example( s ),6168,unrelated,0.2407234187308,0.03183382051395,0.04603641193065,0.68140641
a couple determined their tip to a waitress by dangling five $1 bills at the table. see example( s ),6169,disagree,0.286679605,0.45614352350000004,0.23354347425,0.023633418372500003
"""star wars: rogue one"" was re-shot to add an anti-trump scene.",6170,discuss,0.251409295,0.054721886500000004,0.434174631,0.25969419524099996
"""star wars: rogue one"" was re-shot to add an anti-trump scene.",6171,unrelated,0.073956763,0.380821658295,0.061589404,0.483632195
